Currency_Pair,Date,Value
EURUSD,20160713,1.10889
EURUSD,20160714,1.11183
EURUSD,20160715,1.10291
EURUSD,20160716,1.10261
EURUSD,20160717,1.10471
EURUSD,20160718,1.10752
EURUSD,20160719,1.10197
EURUSD,20160720,1.10132
EURUSD,20160721,1.10246
EURUSD,20160722,1.09733
EURUSD,20160723,1.0975
EURUSD,20160724,1.0973
EURUSD,20160725,1.09929
EURUSD,20160726,1.09862
EURUSD,20160727,1.10575
EURUSD,20160728,1.10748
EURUSD,20160729,1.11712
EURUSD,20160730,1.1175
EURUSD,20160731,1.1171
EURUSD,20160801,1.11602
EURUSD,20160802,1.12213
EURUSD,20160803,1.11487
EURUSD,20160804,1.11276
EURUSD,20160805,1.10854
EURUSD,20160806,1.1081
EURUSD,20160807,1.1079
EURUSD,20160808,1.1088
EURUSD,20160809,1.11161
EURUSD,20160810,1.11745
EURUSD,20160811,1.11364
EURUSD,20160812,1.11621
EURUSD,20160813,1.11623
EURUSD,20160814,1.11666
EURUSD,20160815,1.11813
EURUSD,20160816,1.12781
EURUSD,20160817,1.12879
EURUSD,20160818,1.13538
EURUSD,20160819,1.13213
EURUSD,20160820,1.1325
EURUSD,20160821,1.13067
EURUSD,20160822,1.13198
EURUSD,20160823,1.13044
EURUSD,20160824,1.12628
EURUSD,20160825,1.12838
EURUSD,20160826,1.11943
EURUSD,20160827,1.1195
EURUSD,20160828,1.11749
EURUSD,20160829,1.11881
EURUSD,20160830,1.11421
EURUSD,20160831,1.11566
EURUSD,20160901,1.11961
EURUSD,20160902,1.11521
EURUSD,20160903,1.1152
EURUSD,20160904,1.11546
EURUSD,20160905,1.11468
EURUSD,20160906,1.12527
EURUSD,20160907,1.12385
EURUSD,20160908,1.12584
EURUSD,20160909,1.12318
EURUSD,20160910,1.1225
EURUSD,20160911,1.12334
EURUSD,20160912,1.12337
EURUSD,20160913,1.12177
EURUSD,20160914,1.12488
EURUSD,20160915,1.1243
EURUSD,20160916,1.11566
EURUSD,20160918,1.1152
EURUSD,20160919,1.11739
EURUSD,20160920,1.11498
EURUSD,20160921,1.11885
EURUSD,20160922,1.12067
EURUSD,20160923,1.12237
EURUSD,20160924,1.1226
EURUSD,20160925,1.1227
EURUSD,20160926,1.12532
EURUSD,20160927,1.12142
EURUSD,20160928,1.1217
EURUSD,20160929,1.12213
EURUSD,20160930,1.124
EURUSD,20161001,1.12403
EURUSD,20161002,1.1227
EURUSD,20161003,1.12104
EURUSD,20161004,1.12014
EURUSD,20161005,1.12044
EURUSD,20161006,1.11467
EURUSD,20161007,1.11986
EURUSD,20161008,1.12
EURUSD,20161009,1.1174
EURUSD,20161010,1.11372
EURUSD,20161011,1.10523
EURUSD,20161012,1.10054
EURUSD,20161013,1.10555
EURUSD,20161014,1.09716
